cliente_id,producto_id,evento,peso_evento,timestamp
USR-0128,PROD-034,view,1,2023-03-16
USR-0087,PROD-034,view,1,2024-02-10
USR-0059,PROD-034,buy,5,2023-03-03
USR-0070,PROD-034,add_to_cart,3,2023-07-08
USR-0099,PROD-012,buy,5,2023-11-24
USR-0075,PROD-004,view,1,2023-03-06
USR-0061,PROD-022,view,1,2023-07-14
USR-0061,PROD-034,view,1,2023-07-21
USR-0087,PROD-008,buy,5,2023-04-08
USR-0004,PROD-009,view,1,2023-09-29
USR-0071,PROD-034,view,1,2024-01-05
USR-0033,PROD-034,view,1,2023-05-16
USR-0095,PROD-034,view,1,2023-06-26
USR-0104,PROD-034,view,1,2023-02-13
USR-0122,PROD-035,buy,5,2024-07-29
USR-0039,PROD-034,view,1,2024-03-03
USR-0142,PROD-039,add_to_cart,3,2024-01-12
USR-0100,PROD-005,buy,5,2023-08-07
USR-0021,PROD-034,view,1,2023-04-20
USR-0051,PROD-034,view,1,2023-07-18
USR-0027,PROD-034,view,1,2023-01-17
USR-0058,PROD-034,buy,5,2023-06-14
USR-0096,PROD-017,view,1,2024-04-05
USR-0137,PROD-018,buy,5,2024-07-24
USR-0008,PROD-025,add_to_cart,3,2023-06-20
USR-0020,PROD-013,add_to_cart,3,2023-05-01
USR-0068,PROD-034,view,1,2023-05-26
USR-0076,PROD-037,view,1,2023-03-27
USR-0015,PROD-010,view,1,2023-06-11
USR-0103,PROD-032,view,1,2024-07-15
USR-0114,PROD-027,view,1,2024-06-11
USR-0052,PROD-029,view,1,2023-11-08
USR-0119,PROD-034,add_to_cart,3,2023-06-26
USR-0097,PROD-026,add_to_cart,3,2024-04-22
USR-0074,PROD-034,view,1,2024-05-29
USR-0078,PROD-031,view,1,2023-05-13
USR-0053,PROD-034,view,1,2024-03-18
USR-0046,PROD-007,add_to_cart,3,2024-07-15
USR-0040,PROD-034,add_to_cart,3,2023-08-19
USR-0040,PROD-028,view,1,2023-02-22
USR-0092,PROD-021,view,1,2023-06-07
USR-0018,PROD-004,view,1,2023-10-09
USR-0027,PROD-034,add_to_cart,3,2024-06-15
USR-0019,PROD-034,view,1,2023-04-30
USR-0024,PROD-025,view,1,2023-05-23
USR-0025,PROD-034,view,1,2023-02-01
USR-0008,PROD-008,view,1,2023-12-18
USR-0082,PROD-027,view,1,2024-06-13
USR-0140,PROD-029,view,1,2024-04-21
USR-0099,PROD-012,view,1,2024-02-21
USR-0109,PROD-014,add_to_cart,3,2024-02-22
USR-0142,PROD-007,view,1,2023-11-13
USR-0107,PROD-034,buy,5,2024-06-03
USR-0077,PROD-004,view,1,2024-04-22
USR-0074,PROD-003,buy,5,2023-11-18
USR-0145,PROD-034,view,1,2024-05-30
USR-0054,PROD-007,buy,5,2023-05-24
USR-0117,PROD-034,view,1,2024-05-06
USR-0093,PROD-038,view,1,2024-01-25
USR-0023,PROD-024,add_to_cart,3,2024-04-04
USR-0077,PROD-030,add_to_cart,3,2023-12-05
USR-0005,PROD-038,add_to_cart,3,2023-05-02
USR-0148,PROD-005,view,1,2023-03-05
USR-0125,PROD-014,add_to_cart,3,2024-04-29
USR-0012,PROD-034,view,1,2023-01-21
USR-0062,PROD-031,add_to_cart,3,2023-03-17
USR-0072,PROD-034,add_to_cart,3,2023-08-13
USR-0128,PROD-025,view,1,2023-02-15
USR-0000,PROD-034,view,1,2023-07-23
USR-0053,PROD-030,buy,5,2023-01-16
USR-0012,PROD-034,add_to_cart,3,2023-03-08
USR-0090,PROD-034,view,1,2024-06-28
USR-0114,PROD-019,view,1,2023-05-23
USR-0119,PROD-034,add_to_cart,3,2024-06-18
USR-0040,PROD-034,view,1,2024-03-11
USR-0039,PROD-016,add_to_cart,3,2023-01-10
USR-0068,PROD-034,view,1,2023-07-15
USR-0073,PROD-034,view,1,2023-06-10
USR-0018,PROD-019,add_to_cart,3,2023-11-13
USR-0130,PROD-034,view,1,2024-02-08
USR-0118,PROD-031,add_to_cart,3,2024-06-16
USR-0050,PROD-034,add_to_cart,3,2023-04-17
USR-0143,PROD-033,view,1,2023-01-01
USR-0101,PROD-038,view,1,2023-10-01
USR-0087,PROD-004,add_to_cart,3,2024-03-08
USR-0027,PROD-028,view,1,2024-03-14
USR-0137,PROD-026,view,1,2023-01-16
USR-0040,PROD-034,view,1,2024-05-24
USR-0145,PROD-016,view,1,2024-01-02
USR-0017,PROD-018,view,1,2024-07-26
USR-0087,PROD-032,view,1,2024-07-29
USR-0085,PROD-038,view,1,2023-01-26
USR-0022,PROD-034,view,1,2023-06-05
USR-0112,PROD-009,view,1,2023-10-12
USR-0059,PROD-036,buy,5,2023-09-22
USR-0125,PROD-014,view,1,2023-02-27
USR-0112,PROD-034,view,1,2023-06-10
USR-0096,PROD-034,view,1,2023-04-16
USR-0070,PROD-039,view,1,2023-03-16
USR-0013,PROD-034,buy,5,2024-02-05
USR-0077,PROD-022,add_to_cart,3,2023-01-17
USR-0011,PROD-034,view,1,2023-06-18
USR-0078,PROD-034,add_to_cart,3,2023-10-24
USR-0141,PROD-006,view,1,2023-02-22
USR-0117,PROD-034,add_to_cart,3,2024-07-10
USR-0017,PROD-018,view,1,2023-11-20
USR-0082,PROD-034,view,1,2023-06-13
USR-0067,PROD-034,buy,5,2023-07-27
USR-0058,PROD-027,view,1,2024-06-20
USR-0018,PROD-011,view,1,2023-03-07
USR-0079,PROD-040,add_to_cart,3,2024-01-20
USR-0130,PROD-008,view,1,2023-04-21
USR-0124,PROD-034,view,1,2024-07-01
USR-0086,PROD-031,view,1,2024-03-18
USR-0104,PROD-034,view,1,2023-08-29
USR-0052,PROD-028,view,1,2023-08-11
USR-0035,PROD-028,buy,5,2023-03-03
USR-0078,PROD-034,buy,5,2023-12-06
USR-0119,PROD-004,view,1,2024-01-10
USR-0034,PROD-035,view,1,2023-08-20
USR-0007,PROD-016,buy,5,2023-03-11
USR-0110,PROD-034,view,1,2024-01-14
USR-0032,PROD-021,view,1,2024-05-14
USR-0120,PROD-001,view,1,2023-06-29
USR-0015,PROD-040,view,1,2023-06-30
USR-0097,PROD-034,buy,5,2023-10-09
USR-0002,PROD-035,add_to_cart,3,2024-01-29
USR-0079,PROD-034,view,1,2023-06-05
USR-0018,PROD-027,add_to_cart,3,2023-03-20
USR-0138,PROD-034,view,1,2023-06-05
USR-0049,PROD-034,buy,5,2023-02-27
USR-0094,PROD-023,view,1,2023-07-05
USR-0045,PROD-034,buy,5,2023-03-28
USR-0072,PROD-033,add_to_cart,3,2024-05-30
USR-0064,PROD-034,add_to_cart,3,2023-06-29
USR-0068,PROD-034,buy,5,2024-02-04
USR-0099,PROD-004,buy,5,2024-02-08
USR-0047,PROD-040,view,1,2024-02-23
USR-0110,PROD-015,view,1,2023-11-30
USR-0074,PROD-034,add_to_cart,3,2023-08-11
USR-0017,PROD-004,view,1,2024-05-12
USR-0024,PROD-034,add_to_cart,3,2023-07-13
USR-0136,PROD-001,view,1,2023-12-15
USR-0107,PROD-012,view,1,2024-04-15
USR-0141,PROD-004,view,1,2023-02-11
USR-0146,PROD-004,view,1,2024-03-03
USR-0095,PROD-034,view,1,2023-05-31
USR-0073,PROD-026,view,1,2023-09-11
USR-0128,PROD-004,buy,5,2023-11-22
USR-0068,PROD-005,view,1,2024-04-10
USR-0047,PROD-040,view,1,2024-04-25
USR-0137,PROD-010,add_to_cart,3,2023-08-21
USR-0027,PROD-034,view,1,2024-01-14
USR-0048,PROD-025,view,1,2023-06-25
USR-0148,PROD-037,view,1,2023-07-21
USR-0017,PROD-034,view,1,2023-04-06
USR-0104,PROD-017,add_to_cart,3,2023-10-16
USR-0001,PROD-027,buy,5,2023-06-10
USR-0134,PROD-025,view,1,2023-09-03
USR-0134,PROD-034,view,1,2023-01-08
USR-0082,PROD-027,view,1,2024-07-07
USR-0049,PROD-018,add_to_cart,3,2024-06-25
USR-0038,PROD-034,add_to_cart,3,2023-05-12
USR-0047,PROD-008,buy,5,2023-11-29
USR-0136,PROD-034,view,1,2023-09-08
USR-0027,PROD-034,view,1,2023-06-23
USR-0083,PROD-004,view,1,2023-12-15
USR-0066,PROD-011,view,1,2023-09-23
USR-0144,PROD-022,buy,5,2024-04-01
USR-0071,PROD-016,buy,5,2023-04-14
USR-0043,PROD-036,add_to_cart,3,2023-07-12
USR-0015,PROD-007,add_to_cart,3,2024-07-03
USR-0043,PROD-004,view,1,2023-11-04
USR-0091,PROD-036,view,1,2024-07-15
USR-0056,PROD-001,view,1,2023-04-16
USR-0136,PROD-009,view,1,2023-05-11
USR-0012,PROD-005,add_to_cart,3,2024-07-27
USR-0118,PROD-039,view,1,2023-11-05
USR-0062,PROD-033,view,1,2023-03-08
USR-0045,PROD-034,add_to_cart,3,2024-07-14
USR-0022,PROD-007,buy,5,2023-02-24
USR-0008,PROD-001,view,1,2023-01-08
USR-0035,PROD-020,view,1,2024-03-31
USR-0066,PROD-019,add_to_cart,3,2024-02-16
USR-0113,PROD-034,view,1,2023-02-16
USR-0107,PROD-034,view,1,2024-03-23
USR-0035,PROD-012,view,1,2024-03-20
USR-0109,PROD-030,add_to_cart,3,2024-01-20
USR-0008,PROD-034,view,1,2023-08-20
USR-0069,PROD-006,view,1,2024-02-21
USR-0064,PROD-034,view,1,2023-07-02
USR-0134,PROD-034,view,1,2023-09-20
USR-0053,PROD-015,view,1,2024-04-15
USR-0090,PROD-034,view,1,2024-05-02
USR-0036,PROD-037,view,1,2024-03-24
USR-0075,PROD-004,view,1,2024-01-15
USR-0145,PROD-034,view,1,2023-03-30
USR-0076,PROD-029,view,1,2023-12-20
USR-0055,PROD-016,view,1,2024-01-21
USR-0141,PROD-034,view,1,2023-12-02
USR-0088,PROD-034,view,1,2023-05-18
USR-0018,PROD-034,view,1,2024-03-31
USR-0094,PROD-034,buy,5,2024-03-14
USR-0056,PROD-001,buy,5,2024-07-14
USR-0090,PROD-040,view,1,2024-05-15
