issue_key,issue_type,priority,status,component,project,reporter,assignee,story_points,resolution_hours,comments_count,watchers,reopened,sprint,label
PROJ-B-1000,Bug,High,Resolved,Frontend,PROJ-C,user_1,dev_7,,10.0,8,4,0,,frontend
PROJ-A-1001,Epic,High,Closed,Auth,PROJ-D,user_1,dev_4,13.0,235.4,10,4,1,,tech-debt
PROJ-A-1002,Task,Low,Done,Testing,PROJ-C,user_19,,,152.4,2,1,0,Sprint 5,ux
PROJ-B-1003,Story,High,Resolved,Auth,PROJ-D,user_5,dev_4,2.0,20.6,6,6,0,Sprint 10,ux
PROJ-D-1004,Bug,High,Closed,API,PROJ-D,user_13,dev_7,,15.6,3,3,0,,
PROJ-C-1005,Bug,Medium,Done,Mobile,PROJ-C,user_19,dev_9,,91.2,1,1,1,,regression
PROJ-C-1006,Bug,Medium,Done,Database,PROJ-B,user_12,dev_11,,189.5,1,1,0,,tech-debt
PROJ-C-1007,Improvement,Medium,Resolved,Auth,PROJ-D,user_16,dev_4,,6.4,2,4,0,,tech-debt
PROJ-B-1008,Story,Critical,Done,Database,PROJ-C,user_19,dev_4,5.0,0.5,11,8,0,Sprint 14,
PROJ-C-1009,Task,Medium,Done,Backend,PROJ-A,user_3,dev_6,,6.0,1,3,0,Sprint 16,
PROJ-A-1010,Bug,Critical,Done,Infra,PROJ-C,user_12,dev_6,,3.6,9,8,0,,
PROJ-C-1011,Sub-task,Critical,Done,Mobile,PROJ-A,user_5,dev_7,1.0,2.4,15,3,0,Sprint 2,performance
PROJ-B-1012,Improvement,Low,Resolved,Database,PROJ-D,user_2,dev_1,,66.5,0,1,0,,
PROJ-C-1013,Bug,High,Resolved,Frontend,PROJ-C,user_22,dev_13,,3.7,5,2,0,,
PROJ-D-1014,Bug,Medium,Closed,Infra,PROJ-C,user_7,dev_11,,30.5,5,1,0,,performance
PROJ-D-1015,Bug,Medium,Done,Testing,PROJ-A,user_13,dev_14,,72.3,2,3,0,,backend
PROJ-B-1016,Bug,Medium,Won't Fix,Testing,PROJ-C,user_15,dev_3,,38.4,0,2,0,,
PROJ-B-1017,Story,Low,Closed,Frontend,PROJ-C,user_22,dev_9,1.0,52.5,2,1,0,Sprint 19,ux
PROJ-D-1018,Story,Critical,Resolved,Auth,PROJ-D,user_3,dev_6,8.0,8.4,7,9,0,Sprint 23,flaky-test
PROJ-C-1019,Bug,Medium,Done,Infra,PROJ-C,user_21,dev_6,,118.4,1,2,0,,performance
PROJ-A-1020,Story,Low,Done,Database,PROJ-B,user_20,dev_5,8.0,222.4,1,3,0,Sprint 9,
PROJ-B-1021,Bug,Medium,Won't Fix,Infra,PROJ-A,user_5,dev_11,,23.4,2,1,1,,backend
PROJ-D-1022,Bug,Low,Done,Auth,PROJ-C,user_24,dev_3,,67.4,0,2,0,,regression
PROJ-C-1023,Bug,Critical,Resolved,API,PROJ-A,user_8,dev_11,,1.1,9,7,0,,regression
PROJ-B-1024,Story,Medium,Resolved,Mobile,PROJ-A,user_22,dev_5,13.0,212.9,0,1,1,Sprint 14,tech-debt
PROJ-C-1025,Task,High,Done,Frontend,PROJ-A,user_1,dev_14,,37.7,6,3,0,Sprint 15,performance
PROJ-A-1026,Bug,Medium,Resolved,Auth,PROJ-C,user_8,dev_1,,137.8,7,2,0,,ux
PROJ-B-1027,Story,Low,Done,API,PROJ-C,user_24,dev_3,3.0,7.5,2,2,0,Sprint 19,
PROJ-A-1028,Story,High,Resolved,Infra,PROJ-A,user_18,dev_4,1.0,6.3,5,8,0,Sprint 8,
PROJ-A-1029,Bug,Medium,Duplicate,Infra,PROJ-B,user_20,dev_5,,90.1,5,2,0,,
PROJ-A-1030,Story,High,Duplicate,Auth,PROJ-A,user_16,dev_10,5.0,95.4,6,10,0,Sprint 15,ux
PROJ-D-1031,Bug,Medium,Resolved,Database,PROJ-B,user_18,dev_9,,63.8,3,2,0,,tech-debt
PROJ-A-1032,Bug,Medium,Closed,Infra,PROJ-A,user_20,dev_4,,22.7,1,2,0,,flaky-test
PROJ-A-1033,Epic,Low,Resolved,Database,PROJ-D,user_12,dev_3,2.0,1442.1,0,3,0,,performance
PROJ-C-1034,Sub-task,Medium,Resolved,Database,PROJ-A,user_13,dev_10,1.0,14.9,4,3,0,Sprint 8,flaky-test
PROJ-D-1035,Task,Medium,Done,Mobile,PROJ-A,user_13,,,37.1,2,3,0,Sprint 4,
PROJ-D-1036,Bug,High,Done,Database,PROJ-C,user_10,dev_13,,5.6,4,2,0,,tech-debt
PROJ-D-1037,Bug,High,Closed,Backend,PROJ-B,user_7,dev_10,,18.6,2,4,0,,ux
PROJ-D-1038,Task,High,Done,Mobile,PROJ-D,user_14,dev_6,,18.4,4,5,0,Sprint 6,
PROJ-A-1039,Story,High,Won't Fix,API,PROJ-B,user_24,dev_7,1.0,2.2,1,7,0,Sprint 11,ux
PROJ-C-1040,Bug,Low,Done,API,PROJ-D,user_16,dev_10,,52.6,3,1,0,,
PROJ-A-1041,Story,Medium,Done,Infra,PROJ-A,user_15,dev_8,21.0,307.4,4,3,0,Sprint 12,backend
PROJ-A-1042,Bug,Medium,Done,Infra,PROJ-C,user_12,dev_12,,65.9,5,4,0,,tech-debt
PROJ-D-1043,Improvement,High,Won't Fix,Database,PROJ-C,user_9,dev_1,,101.9,5,6,0,,regression
PROJ-D-1044,Bug,Low,Won't Fix,Mobile,PROJ-B,user_8,dev_12,,115.4,2,3,1,,regression
PROJ-B-1045,Task,Medium,Done,Mobile,PROJ-C,user_18,dev_4,,180.2,3,2,0,Sprint 24,ux
PROJ-C-1046,Bug,Critical,Resolved,Backend,PROJ-B,user_23,dev_11,,4.5,4,5,0,,ux
PROJ-D-1047,Story,Medium,Closed,Database,PROJ-B,user_18,dev_5,1.0,102.6,1,1,0,Sprint 9,performance
PROJ-D-1048,Story,Medium,Closed,Backend,PROJ-D,user_13,dev_2,1.0,55.2,0,2,0,Sprint 18,performance
PROJ-A-1049,Bug,High,Resolved,Testing,PROJ-B,user_18,dev_1,,49.3,2,2,0,,frontend
PROJ-A-1050,Sub-task,Medium,Done,Database,PROJ-D,user_15,dev_8,3.0,5.8,4,3,0,Sprint 17,
PROJ-A-1051,Task,Medium,Closed,Frontend,PROJ-C,user_4,dev_6,,28.3,1,1,0,Sprint 21,tech-debt
PROJ-D-1052,Epic,High,Done,Frontend,PROJ-B,user_17,dev_5,5.0,21.3,0,8,0,,
PROJ-C-1053,Improvement,Low,Done,Auth,PROJ-B,user_5,dev_13,,175.8,0,2,0,,performance
PROJ-D-1054,Story,Low,Done,Database,PROJ-A,user_22,dev_9,3.0,604.0,1,1,1,Sprint 3,ux
PROJ-D-1055,Epic,Medium,Done,Mobile,PROJ-B,user_16,dev_13,21.0,174.1,4,2,0,,
PROJ-C-1056,Bug,Medium,Closed,Infra,PROJ-B,user_9,dev_11,,4.4,4,2,0,,ux
PROJ-D-1057,Bug,Medium,Done,API,PROJ-A,user_10,dev_13,,19.4,4,1,0,,tech-debt
PROJ-D-1058,Bug,Medium,Closed,Auth,PROJ-A,user_24,dev_11,,26.3,1,1,0,,regression
PROJ-C-1059,Bug,Medium,Closed,Infra,PROJ-C,user_18,dev_2,,56.0,3,3,0,,flaky-test
